titre,realisateur,nombre_de_film,Ville,titre_realisateur
ALEXANDER,STONE OLIVIER,1,Paris,ALEXANDER_STONE OLIVIER
KATHIRKAALAM,BASHA MAHABOOB,1,Paris,KATHIRKAALAM_BASHA MAHABOOB
LES OISEAUX DU CIEL,ELIANE DE LATOUR,1,Paris,LES OISEAUX DU CIEL_ELIANE DE LATOUR
LES OISEAUX DU CIEL,ELIANE DE LATOUR,1,Paris,LES OISEAUX DU CIEL_ELIANE DE LATOUR
LES PARRAINS,FREDERIC FORESTIER,1,Paris,LES PARRAINS_FREDERIC FORESTIER
MOMO,FRANCOIS DUPEYRON,1,Paris,MOMO_FRANCOIS DUPEYRON
MOMO,FRANCOIS DUPEYRON,1,Paris,MOMO_FRANCOIS DUPEYRON
MOMO,FRANCOIS DUPEYRON,1,Paris,MOMO_FRANCOIS DUPEYRON
MOMO,FRANCOIS DUPEYRON,1,Paris,MOMO_FRANCOIS DUPEYRON
LE PAPILLON,P. MUYL,1,Paris,LE PAPILLON_P. MUYL
LE PAPILLON,P. MUYL,1,Paris,LE PAPILLON_P. MUYL
LE PAPILLON,P. MUYL,1,Paris,LE PAPILLON_P. MUYL
LE PAPILLON,P. MUYL,1,Paris,LE PAPILLON_P. MUYL
LE PAPILLON,P. MUYL,1,Paris,LE PAPILLON_P. MUYL
LA JUNGLE,MATTHIEU DELAPORT,1,Paris,LA JUNGLE_MATTHIEU DELAPORT
LA JUNGLE,MATTHIEU DELAPORT,1,Paris,LA JUNGLE_MATTHIEU DELAPORT
LA JUNGLE,MATTHIEU DELAPORT,1,Paris,LA JUNGLE_MATTHIEU DELAPORT
LA JUNGLE,MATTHIEU DELAPORT,1,Paris,LA JUNGLE_MATTHIEU DELAPORT
LA JUNGLE,MATTHIEU DELAPORT,1,Paris,LA JUNGLE_MATTHIEU DELAPORT
LA JUNGLE,MATTHIEU DELAPORT,1,Paris,LA JUNGLE_MATTHIEU DELAPORT
LA JUNGLE,MATTHIEU DELAPORT,1,Paris,LA JUNGLE_MATTHIEU DELAPORT
LA JUNGLE,MATTHIEU DELAPORT,1,Paris,LA JUNGLE_MATTHIEU DELAPORT
NOUVELLE DONNE,JOACHIM TRIER,1,Paris,NOUVELLE DONNE_JOACHIM TRIER
LES AMITIES MALEFIQUES,EMMANUEL BOURDIEU,1,Paris,LES AMITIES MALEFIQUES_EMMANUEL BOURDIEU
LES AMITIES MALEFIQUES,EMMANUEL BOURDIEU,1,Paris,LES AMITIES MALEFIQUES_EMMANUEL BOURDIEU
LES AMITIES MALEFIQUES,EMMANUEL BOURDIEU,1,Paris,LES AMITIES MALEFIQUES_EMMANUEL BOURDIEU
PARIS JE T'AIME,FREDERIC AUBURTIN,1,Paris,PARIS JE T'AIME_FREDERIC AUBURTIN
PARIS JE T'AIME,FREDERIC AUBURTIN,1,Paris,PARIS JE T'AIME_FREDERIC AUBURTIN
PARIS JE T'AIME,FREDERIC AUBURTIN,1,Paris,PARIS JE T'AIME_FREDERIC AUBURTIN
PARIS JE T'AIME,FREDERIC AUBURTIN,1,Paris,PARIS JE T'AIME_FREDERIC AUBURTIN
PARIS JE T'AIME,FREDERIC AUBURTIN,1,Paris,PARIS JE T'AIME_FREDERIC AUBURTIN
PARIS JE T'AIME,FREDERIC AUBURTIN,1,Paris,PARIS JE T'AIME_FREDERIC AUBURTIN
PARIS JE T'AIME,FREDERIC AUBURTIN,1,Paris,PARIS JE T'AIME_FREDERIC AUBURTIN
PARIS JE T'AIME,FREDERIC AUBURTIN,1,Paris,PARIS JE T'AIME_FREDERIC AUBURTIN
PARIS JE T'AIME,FREDERIC AUBURTIN,1,Paris,PARIS JE T'AIME_FREDERIC AUBURTIN
PARIS JE T'AIME,FREDERIC AUBURTIN,1,Paris,PARIS JE T'AIME_FREDERIC AUBURTIN
QUELQUES JOURS EN SEPTEMBRE,SANTIAGO AMIGORENA,1,Paris,QUELQUES JOURS EN SEPTEMBRE_SANTIAGO AMIGORENA
QUELQUES JOURS EN SEPTEMBRE,SANTIAGO AMIGORENA,1,Paris,QUELQUES JOURS EN SEPTEMBRE_SANTIAGO AMIGORENA
LES ANGES EXTERMINATEURS,JEAN CLAUDE BRISSEAU,1,Paris,LES ANGES EXTERMINATEURS_JEAN CLAUDE BRISSEAU
LE GRAND APPARTEMENT,PASCAL THOMAS,1,Paris,LE GRAND APPARTEMENT_PASCAL THOMAS
ECHANGE,CHRISTIAN DITTER,1,Paris,ECHANGE_CHRISTIAN DITTER
TAKE THIS WALTZ,FLORENCE COLOMBANI,1,Paris,TAKE THIS WALTZ_FLORENCE COLOMBANI
TAKE THIS WALTZ,FLORENCE COLOMBANI,1,Paris,TAKE THIS WALTZ_FLORENCE COLOMBANI
TAKE THIS WALTZ,FLORENCE COLOMBANI,1,Paris,TAKE THIS WALTZ_FLORENCE COLOMBANI
TAKE THIS WALTZ,FLORENCE COLOMBANI,1,Paris,TAKE THIS WALTZ_FLORENCE COLOMBANI
LES MURS PORT,CYRIL GELBLAT,1,Paris,LES MURS PORT_CYRIL GELBLAT
LES MURS PORT,CYRIL GELBLAT,1,Paris,LES MURS PORT_CYRIL GELBLAT
LES MURS PORT,CYRIL GELBLAT,1,Paris,LES MURS PORT_CYRIL GELBLAT
LES MURS PORT,CYRIL GELBLAT,1,Paris,LES MURS PORT_CYRIL GELBLAT
LES MURS PORT,CYRIL GELBLAT,1,Paris,LES MURS PORT_CYRIL GELBLAT
EXES,MARTIN COGNITO,1,Paris,EXES_MARTIN COGNITO
EXES,MARTIN COGNITO,1,Paris,EXES_MARTIN COGNITO
EXES,MARTIN COGNITO,1,Paris,EXES_MARTIN COGNITO
RESILIENCE,MAIWENN LE BESCO,1,Paris,RESILIENCE_MAIWENN LE BESCO
LA FAUTE A FIDEL,JULIE GAVRAS,1,Paris,LA FAUTE A FIDEL_JULIE GAVRAS
LA FAUTE A FIDEL,JULIE GAVRAS,1,Paris,LA FAUTE A FIDEL_JULIE GAVRAS
LA FAUTE A FIDEL,JULIE GAVRAS,1,Paris,LA FAUTE A FIDEL_JULIE GAVRAS
LA FAUTE A FIDEL,JULIE GAVRAS,1,Paris,LA FAUTE A FIDEL_JULIE GAVRAS
PARIS- JE T'AIME,D. THOMAS,1,Paris,PARIS- JE T'AIME_D. THOMAS
TRUANDS,F.SCHOENDOERFFER,1,Paris,TRUANDS_F.SCHOENDOERFFER
THE QUEEN,STEPHEN FREARS,1,Paris,THE QUEEN_STEPHEN FREARS
TRES BIEN MERCI,EMMANUELLE CUAU,1,Paris,TRES BIEN MERCI_EMMANUELLE CUAU
TRES BIEN MERCI,EMMANUELLE CUAU,1,Paris,TRES BIEN MERCI_EMMANUELLE CUAU
TRES BIEN MERCI,EMMANUELLE CUAU,1,Paris,TRES BIEN MERCI_EMMANUELLE CUAU
CE QUE JE SAIS DE LOLA,JAVIER REBOLLO,1,Paris,CE QUE JE SAIS DE LOLA_JAVIER REBOLLO
CE QUE JE SAIS DE LOLA,JAVIER REBOLLO,1,Paris,CE QUE JE SAIS DE LOLA_JAVIER REBOLLO
ANDALUCIA,ALAIN GOMIS,1,Paris,ANDALUCIA_ALAIN GOMIS
ANDALUCIA,ALAIN GOMIS,1,Paris,ANDALUCIA_ALAIN GOMIS
ANDALUCIA,ALAIN GOMIS,1,Paris,ANDALUCIA_ALAIN GOMIS
ANDALUCIA,ALAIN GOMIS,1,Paris,ANDALUCIA_ALAIN GOMIS
ANDALUCIA,ALAIN GOMIS,1,Paris,ANDALUCIA_ALAIN GOMIS
SUZANNE ET LES VIEILLARDS,VIVIANE CANDAS,1,Paris,SUZANNE ET LES VIEILLARDS_VIVIANE CANDAS
NOS AMIS LES TERRIENS,BERNARD WERBER,1,Paris,NOS AMIS LES TERRIENS_BERNARD WERBER
NOS AMIS LES TERRIENS,BERNARD WERBER,1,Paris,NOS AMIS LES TERRIENS_BERNARD WERBER
MAUVAISE FOI,ROSCHDY ZEM,1,Paris,MAUVAISE FOI_ROSCHDY ZEM
MAUVAISE FOI,ROSCHDY ZEM,1,Paris,MAUVAISE FOI_ROSCHDY ZEM
MAUVAISE FOI,ROSCHDY ZEM,1,Paris,MAUVAISE FOI_ROSCHDY ZEM
MES COPINES,SYLVIE AYME,1,Paris,MES COPINES_SYLVIE AYME
MES COPINES,SYLVIE AYME,1,Paris,MES COPINES_SYLVIE AYME
ENSEMBLE- C'EST TOUT,CLAUDE BERRI,1,Paris,ENSEMBLE- C'EST TOUT_CLAUDE BERRI
LE DIABLE S'HABILLE EN PRADA,DAVID FRANKEL,1,Paris,LE DIABLE S'HABILLE EN PRADA_DAVID FRANKEL
MON MEILLEUR AMI,PATRICE LECONTE,1,Paris,MON MEILLEUR AMI_PATRICE LECONTE
MON MEILLEUR AMI,PATRICE LECONTE,1,Paris,MON MEILLEUR AMI_PATRICE LECONTE
MON MEILLEUR AMI,PATRICE LECONTE,1,Paris,MON MEILLEUR AMI_PATRICE LECONTE
MON MEILLEUR AMI,PATRICE LECONTE,1,Paris,MON MEILLEUR AMI_PATRICE LECONTE
MON MEILLEUR AMI,PATRICE LECONTE,1,Paris,MON MEILLEUR AMI_PATRICE LECONTE
MON MEILLEUR AMI,PATRICE LECONTE,1,Paris,MON MEILLEUR AMI_PATRICE LECONTE
DANS PARIS,CHRISTOPHE HONORE,1,Paris,DANS PARIS_CHRISTOPHE HONORE
DANS PARIS,CHRISTOPHE HONORE,1,Paris,DANS PARIS_CHRISTOPHE HONORE
DANS PARIS,CHRISTOPHE HONORE,1,Paris,DANS PARIS_CHRISTOPHE HONORE
DANS PARIS,CHRISTOPHE HONORE,1,Paris,DANS PARIS_CHRISTOPHE HONORE
DANS PARIS,CHRISTOPHE HONORE,1,Paris,DANS PARIS_CHRISTOPHE HONORE
CHANGEMENT D'ADRESSE,EMMANUEL MOURET,1,Paris,CHANGEMENT D'ADRESSE_EMMANUEL MOURET
CHANGEMENT D'ADRESSE,EMMANUEL MOURET,1,Paris,CHANGEMENT D'ADRESSE_EMMANUEL MOURET
CHANGEMENT D'ADRESSE,EMMANUEL MOURET,1,Paris,CHANGEMENT D'ADRESSE_EMMANUEL MOURET
BLONDE ET BRUNE,CHRISTINE DORY,1,Paris,BLONDE ET BRUNE_CHRISTINE DORY
HEAD IN THE CLOUDS/NOUS ETIONS LIBRES,JOHN DUIGAN,1,Paris,HEAD IN THE CLOUDS/NOUS ETIONS LIBRES_JOHN DUIGAN
HEAD IN THE CLOUDS/NOUS ETIONS LIBRES,JOHN DUIGAN,1,Paris,HEAD IN THE CLOUDS/NOUS ETIONS LIBRES_JOHN DUIGAN
HEAD IN THE CLOUDS/NOUS ETIONS LIBRES,JOHN DUIGAN,1,Paris,HEAD IN THE CLOUDS/NOUS ETIONS LIBRES_JOHN DUIGAN
HEAD IN THE CLOUDS/NOUS ETIONS LIBRES,JOHN DUIGAN,1,Paris,HEAD IN THE CLOUDS/NOUS ETIONS LIBRES_JOHN DUIGAN
L'INCRUSTE,CASTAGNETTI/JULIUS,1,Paris,L'INCRUSTE_CASTAGNETTI/JULIUS
L'INCRUSTE,CASTAGNETTI/JULIUS,1,Paris,L'INCRUSTE_CASTAGNETTI/JULIUS
L'INCRUSTE,CASTAGNETTI/JULIUS,1,Paris,L'INCRUSTE_CASTAGNETTI/JULIUS
L'INCRUSTE,CASTAGNETTI/JULIUS,1,Paris,L'INCRUSTE_CASTAGNETTI/JULIUS
L'INCRUSTE,CASTAGNETTI/JULIUS,1,Paris,L'INCRUSTE_CASTAGNETTI/JULIUS
L'INCRUSTE,CASTAGNETTI/JULIUS,1,Paris,L'INCRUSTE_CASTAGNETTI/JULIUS
L'INCRUSTE,CASTAGNETTI/JULIUS,1,Paris,L'INCRUSTE_CASTAGNETTI/JULIUS
L'INCRUSTE,CASTAGNETTI/JULIUS,1,Paris,L'INCRUSTE_CASTAGNETTI/JULIUS
L'INCRUSTE,CASTAGNETTI/JULIUS,1,Paris,L'INCRUSTE_CASTAGNETTI/JULIUS
L'INCRUSTE,CASTAGNETTI/JULIUS,1,Paris,L'INCRUSTE_CASTAGNETTI/JULIUS
L'INCRUSTE,CASTAGNETTI/JULIUS,1,Paris,L'INCRUSTE_CASTAGNETTI/JULIUS
L'INCRUSTE,CASTAGNETTI/JULIUS,1,Paris,L'INCRUSTE_CASTAGNETTI/JULIUS
POIDS LEGER,JEAN PIERRE AMERIS,1,Paris,POIDS LEGER_JEAN PIERRE AMERIS
NUIT ET JOUR,HONG SANG-SOO,1,Paris,NUIT ET JOUR_HONG SANG-SOO
NUIT ET JOUR,HONG SANG-SOO,1,Paris,NUIT ET JOUR_HONG SANG-SOO
LA JOCONDE A DISPARU,FRANCOIS LUNEL,1,Paris,LA JOCONDE A DISPARU_FRANCOIS LUNEL
LA JOCONDE A DISPARU,FRANCOIS LUNEL,1,Paris,LA JOCONDE A DISPARU_FRANCOIS LUNEL
ILLUMINATIS,P. ANTHONY MILLE,1,Paris,ILLUMINATIS_P. ANTHONY MILLE
ANGEL-A,LUC BESSON,1,Paris,ANGEL-A_LUC BESSON
ANGEL-A,LUC BESSON,1,Paris,ANGEL-A_LUC BESSON
LE PRESSENTIMENT,J. PIERRE DARROUSSIN,1,Paris,LE PRESSENTIMENT_J. PIERRE DARROUSSIN
LE PRESSENTIMENT,J. PIERRE DARROUSSIN,1,Paris,LE PRESSENTIMENT_J. PIERRE DARROUSSIN
LE PRESSENTIMENT,J. PIERRE DARROUSSIN,1,Paris,LE PRESSENTIMENT_J. PIERRE DARROUSSIN
LE PRESSENTIMENT,J. PIERRE DARROUSSIN,1,Paris,LE PRESSENTIMENT_J. PIERRE DARROUSSIN
COMME T'Y ES BELLE,LIZA AZUELOS,1,Paris,COMME T'Y ES BELLE_LIZA AZUELOS
COMME T'Y ES BELLE,LIZA AZUELOS,1,Paris,COMME T'Y ES BELLE_LIZA AZUELOS
COMME T'Y ES BELLE,LIZA AZUELOS,1,Paris,COMME T'Y ES BELLE_LIZA AZUELOS
NE LE DIS A PERSONNE,GUILLAUME CANET,1,Paris,NE LE DIS A PERSONNE_GUILLAUME CANET
NE LE DIS A PERSONNE,GUILLAUME CANET,1,Paris,NE LE DIS A PERSONNE_GUILLAUME CANET
ON VA S'AIMER,IVAN CALBERAC,1,Paris,ON VA S'AIMER_IVAN CALBERAC
SFIORATI,ANGELO ORLANDO,1,Paris,SFIORATI_ANGELO ORLANDO
LA MAISON DU BONHEUR,DANY BOON,1,Paris,LA MAISON DU BONHEUR_DANY BOON
LA MAISON DU BONHEUR,DANY BOON,1,Paris,LA MAISON DU BONHEUR_DANY BOON
LA JUNGLE,MATTHIEU DELAPORT,1,Paris,LA JUNGLE_MATTHIEU DELAPORT
PRESIDENT,LIONEL DELPLANQUE,1,Paris,PRESIDENT_LIONEL DELPLANQUE
PRESIDENT,LIONEL DELPLANQUE,1,Paris,PRESIDENT_LIONEL DELPLANQUE
LES AMITIES MALEFIQUES,EMMANUEL BOURDIEU,1,Paris,LES AMITIES MALEFIQUES_EMMANUEL BOURDIEU
LES AMITIES MALEFIQUES,EMMANUEL BOURDIEU,1,Paris,LES AMITIES MALEFIQUES_EMMANUEL BOURDIEU
LES AMITIES MALEFIQUES,EMMANUEL BOURDIEU,1,Paris,LES AMITIES MALEFIQUES_EMMANUEL BOURDIEU
PARIS JE T'AIME,FREDERIC AUBURTIN,1,Paris,PARIS JE T'AIME_FREDERIC AUBURTIN
CHANGEMENT D'ADRESSE,EMMANUEL MOURET,1,Paris,CHANGEMENT D'ADRESSE_EMMANUEL MOURET
MADAME IRMA,DIDIER BOURDON,1,Paris,MADAME IRMA_DIDIER BOURDON
LES AMBITIEUX,CATHERINE CORSINI,1,Paris,LES AMBITIEUX_CATHERINE CORSINI
LES AMBITIEUX,CATHERINE CORSINI,1,Paris,LES AMBITIEUX_CATHERINE CORSINI
LES AMBITIEUX,CATHERINE CORSINI,1,Paris,LES AMBITIEUX_CATHERINE CORSINI
LES AMBITIEUX,CATHERINE CORSINI,1,Paris,LES AMBITIEUX_CATHERINE CORSINI
BELLE TOUJOURS,MANUEL DE OLIVEIRA,1,Paris,BELLE TOUJOURS_MANUEL DE OLIVEIRA
BELLE TOUJOURS,MANUEL DE OLIVEIRA,1,Paris,BELLE TOUJOURS_MANUEL DE OLIVEIRA
MA PLACE AU SOLEIL,ERIC DE MONTALIER,1,Paris,MA PLACE AU SOLEIL_ERIC DE MONTALIER
MA PLACE AU SOLEIL,ERIC DE MONTALIER,1,Paris,MA PLACE AU SOLEIL_ERIC DE MONTALIER
MA PLACE AU SOLEIL,ERIC DE MONTALIER,1,Paris,MA PLACE AU SOLEIL_ERIC DE MONTALIER
MA PLACE AU SOLEIL,ERIC DE MONTALIER,1,Paris,MA PLACE AU SOLEIL_ERIC DE MONTALIER
FAY GRIM,HAL HARTLEY,1,Paris,FAY GRIM_HAL HARTLEY
JE CROIS QUE JE L'AIME/IRRESISTIBLE,PIERRE JOLIVET,1,Paris,JE CROIS QUE JE L'AIME/IRRESISTIBLE_PIERRE JOLIVET
JE CROIS QUE JE L'AIME/IRRESISTIBLE,PIERRE JOLIVET,1,Paris,JE CROIS QUE JE L'AIME/IRRESISTIBLE_PIERRE JOLIVET
JE CROIS QUE JE L'AIME/IRRESISTIBLE,PIERRE JOLIVET,1,Paris,JE CROIS QUE JE L'AIME/IRRESISTIBLE_PIERRE JOLIVET
JE CROIS QUE JE L'AIME/IRRESISTIBLE,PIERRE JOLIVET,1,Paris,JE CROIS QUE JE L'AIME/IRRESISTIBLE_PIERRE JOLIVET
OU AVAIS-JE LA TETE ?,NATHALIE DONNINI,1,Paris,OU AVAIS-JE LA TETE ?_NATHALIE DONNINI
ACTRICE,V. BRUNI-TEDESCHI,1,Paris,ACTRICE_V. BRUNI-TEDESCHI
ACTRICE,V. BRUNI-TEDESCHI,1,Paris,ACTRICE_V. BRUNI-TEDESCHI
DANSE AVEC LUI,VALERIE GUIGNABODET,1,Paris,DANSE AVEC LUI_VALERIE GUIGNABODET
COEURS/PETITES PEURS PARTAGEES,ALAIN RESNAIS,1,Paris,COEURS/PETITES PEURS PARTAGEES_ALAIN RESNAIS
JE PENSE A VOUS,PASCAL BONITZER,1,Paris,JE PENSE A VOUS_PASCAL BONITZER
JE PENSE A VOUS,PASCAL BONITZER,1,Paris,JE PENSE A VOUS_PASCAL BONITZER
JE PENSE A VOUS,PASCAL BONITZER,1,Paris,JE PENSE A VOUS_PASCAL BONITZER
L'INVITE,LAURENT BOUHNIK,1,Paris,L'INVITE_LAURENT BOUHNIK
PARS VITE ET REVIENS TARD,REGIS WARGNIER,1,Paris,PARS VITE ET REVIENS TARD_REGIS WARGNIER
PARS VITE ET REVIENS TARD,REGIS WARGNIER,1,Paris,PARS VITE ET REVIENS TARD_REGIS WARGNIER
PARS VITE ET REVIENS TARD,REGIS WARGNIER,1,Paris,PARS VITE ET REVIENS TARD_REGIS WARGNIER
PARS VITE ET REVIENS TARD,REGIS WARGNIER,1,Paris,PARS VITE ET REVIENS TARD_REGIS WARGNIER
PARS VITE ET REVIENS TARD,REGIS WARGNIER,1,Paris,PARS VITE ET REVIENS TARD_REGIS WARGNIER
PARS VITE ET REVIENS TARD,REGIS WARGNIER,1,Paris,PARS VITE ET REVIENS TARD_REGIS WARGNIER
PARS VITE ET REVIENS TARD,REGIS WARGNIER,1,Paris,PARS VITE ET REVIENS TARD_REGIS WARGNIER
PARS VITE ET REVIENS TARD,REGIS WARGNIER,1,Paris,PARS VITE ET REVIENS TARD_REGIS WARGNIER
PARS VITE ET REVIENS TARD,REGIS WARGNIER,1,Paris,PARS VITE ET REVIENS TARD_REGIS WARGNIER
LE SERPENT,ERIC BARBIER,1,Paris,LE SERPENT_ERIC BARBIER
LE SERPENT,ERIC BARBIER,1,Paris,LE SERPENT_ERIC BARBIER
SCORPION,JULIEN SERI,1,Paris,SCORPION_JULIEN SERI
SCORPION,JULIEN SERI,1,Paris,SCORPION_JULIEN SERI
SCORPION,JULIEN SERI,1,Paris,SCORPION_JULIEN SERI
SCORPION,JULIEN SERI,1,Paris,SCORPION_JULIEN SERI
SCORPION,JULIEN SERI,1,Paris,SCORPION_JULIEN SERI
SCORPION,JULIEN SERI,1,Paris,SCORPION_JULIEN SERI
SCORPION,JULIEN SERI,1,Paris,SCORPION_JULIEN SERI
SCORPION,JULIEN SERI,1,Paris,SCORPION_JULIEN SERI
SCORPION,JULIEN SERI,1,Paris,SCORPION_JULIEN SERI
UNE VIEILLE MAITRESSE/VELLINI,CATHERINE BREILLAT,1,Paris,UNE VIEILLE MAITRESSE/VELLINI_CATHERINE BREILLAT
UNE VIEILLE MAITRESSE/VELLINI,CATHERINE BREILLAT,1,Paris,UNE VIEILLE MAITRESSE/VELLINI_CATHERINE BREILLAT
UNE VIEILLE MAITRESSE/VELLINI,CATHERINE BREILLAT,1,Paris,UNE VIEILLE MAITRESSE/VELLINI_CATHERINE BREILLAT
LES TEMOINS,ANDRE TECHINE,1,Paris,LES TEMOINS_ANDRE TECHINE
LES TEMOINS,ANDRE TECHINE,1,Paris,LES TEMOINS_ANDRE TECHINE
ANNA M,MICHEL SPINOSA,1,Paris,ANNA M_MICHEL SPINOSA
ANNA M,MICHEL SPINOSA,1,Paris,ANNA M_MICHEL SPINOSA
ANNA M,MICHEL SPINOSA,1,Paris,ANNA M_MICHEL SPINOSA
LA MOME,OLIVIER DAHAN,1,Paris,LA MOME_OLIVIER DAHAN
PANORAMA,LOO HUI PHANG,1,Paris,PANORAMA_LOO HUI PHANG
UN SECRET,CLAUDE MILLER,1,Paris,UN SECRET_CLAUDE MILLER
MISTER BEAN II,STEVE BENDELACK,1,Paris,MISTER BEAN II_STEVE BENDELACK
JEAN DE LA FONTAINE,DANIEL VIGNE,1,Paris,JEAN DE LA FONTAINE_DANIEL VIGNE
JEAN DE LA FONTAINE,DANIEL VIGNE,1,Paris,JEAN DE LA FONTAINE_DANIEL VIGNE
BELLE,VADIM SCHMELEUV,1,Paris,BELLE_VADIM SCHMELEUV
LETTRES D'UN TUEUR,FRANCK MANCUSO,1,Paris,LETTRES D'UN TUEUR_FRANCK MANCUSO
2 JOURS - 2 DAYS,JULIE DELPY,1,Paris,2 JOURS - 2 DAYS_JULIE DELPY
2 JOURS - 2 DAYS,JULIE DELPY,1,Paris,2 JOURS - 2 DAYS_JULIE DELPY
LA JOCONDE A DISPARU,FRANCOIS LUNEL,1,Paris,LA JOCONDE A DISPARU_FRANCOIS LUNEL
LE PLAISIR DE CHANTER,ILAN DURAN COHEN,1,Paris,LE PLAISIR DE CHANTER_ILAN DURAN COHEN
LE PLAISIR DE CHANTER,ILAN DURAN COHEN,1,Paris,LE PLAISIR DE CHANTER_ILAN DURAN COHEN
LE PLAISIR DE CHANTER,ILAN DURAN COHEN,1,Paris,LE PLAISIR DE CHANTER_ILAN DURAN COHEN
STELLA,SYLVIE VERHEYDE,1,Paris,STELLA_SYLVIE VERHEYDE
CAMPING,FABIEN ONTENIENTE,1,Paris,CAMPING_FABIEN ONTENIENTE
LA MAISON DU BONHEUR,DANY BOON,1,Paris,LA MAISON DU BONHEUR_DANY BOON
LA MAISON DU BONHEUR,DANY BOON,1,Paris,LA MAISON DU BONHEUR_DANY BOON
LA JUNGLE,MATTHIEU DELAPORT,1,Paris,LA JUNGLE_MATTHIEU DELAPORT
LA JUNGLE,MATTHIEU DELAPORT,1,Paris,LA JUNGLE_MATTHIEU DELAPORT
LA JUNGLE,MATTHIEU DELAPORT,1,Paris,LA JUNGLE_MATTHIEU DELAPORT
LA JUNGLE,MATTHIEU DELAPORT,1,Paris,LA JUNGLE_MATTHIEU DELAPORT
LA JUNGLE,MATTHIEU DELAPORT,1,Paris,LA JUNGLE_MATTHIEU DELAPORT
LA JUNGLE,MATTHIEU DELAPORT,1,Paris,LA JUNGLE_MATTHIEU DELAPORT
LA JUNGLE,MATTHIEU DELAPORT,1,Paris,LA JUNGLE_MATTHIEU DELAPORT
PRESIDENT,LIONEL DELPLANQUE,1,Paris,PRESIDENT_LIONEL DELPLANQUE
NOUVELLE DONNE,JOACHIM TRIER,1,Paris,NOUVELLE DONNE_JOACHIM TRIER
LES AMITIES MALEFIQUES,EMMANUEL BOURDIEU,1,Paris,LES AMITIES MALEFIQUES_EMMANUEL BOURDIEU
LES AMITIES MALEFIQUES,EMMANUEL BOURDIEU,1,Paris,LES AMITIES MALEFIQUES_EMMANUEL BOURDIEU
LES AMITIES MALEFIQUES,EMMANUEL BOURDIEU,1,Paris,LES AMITIES MALEFIQUES_EMMANUEL BOURDIEU
LES AMITIES MALEFIQUES,EMMANUEL BOURDIEU,1,Paris,LES AMITIES MALEFIQUES_EMMANUEL BOURDIEU
LES AMITIES MALEFIQUES,EMMANUEL BOURDIEU,1,Paris,LES AMITIES MALEFIQUES_EMMANUEL BOURDIEU
LES AMITIES MALEFIQUES,EMMANUEL BOURDIEU,1,Paris,LES AMITIES MALEFIQUES_EMMANUEL BOURDIEU
LES AMITIES MALEFIQUES,EMMANUEL BOURDIEU,1,Paris,LES AMITIES MALEFIQUES_EMMANUEL BOURDIEU
PARIS JE T'AIME,FREDERIC AUBURTIN,1,Paris,PARIS JE T'AIME_FREDERIC AUBURTIN
PARIS JE T'AIME,FREDERIC AUBURTIN,1,Paris,PARIS JE T'AIME_FREDERIC AUBURTIN
PARIS JE T'AIME,FREDERIC AUBURTIN,1,Paris,PARIS JE T'AIME_FREDERIC AUBURTIN
PARIS JE T'AIME,FREDERIC AUBURTIN,1,Paris,PARIS JE T'AIME_FREDERIC AUBURTIN
PARIS JE T'AIME,FREDERIC AUBURTIN,1,Paris,PARIS JE T'AIME_FREDERIC AUBURTIN
PARIS JE T'AIME,FREDERIC AUBURTIN,1,Paris,PARIS JE T'AIME_FREDERIC AUBURTIN
PARIS JE T'AIME,FREDERIC AUBURTIN,1,Paris,PARIS JE T'AIME_FREDERIC AUBURTIN
PARIS JE T'AIME,FREDERIC AUBURTIN,1,Paris,PARIS JE T'AIME_FREDERIC AUBURTIN
PARIS JE T'AIME,FREDERIC AUBURTIN,1,Paris,PARIS JE T'AIME_FREDERIC AUBURTIN
PARIS JE T'AIME,FREDERIC AUBURTIN,1,Paris,PARIS JE T'AIME_FREDERIC AUBURTIN
PARIS JE T'AIME,FREDERIC AUBURTIN,1,Paris,PARIS JE T'AIME_FREDERIC AUBURTIN
PRETE MOI TA MAIN/RENT A WIFE,ERIC LARTIGAU,1,Paris,PRETE MOI TA MAIN/RENT A WIFE_ERIC LARTIGAU
PRETE MOI TA MAIN/RENT A WIFE,ERIC LARTIGAU,1,Paris,PRETE MOI TA MAIN/RENT A WIFE_ERIC LARTIGAU
QUELQUES JOURS EN SEPTEMBRE,SANTIAGO AMIGORENA,1,Paris,QUELQUES JOURS EN SEPTEMBRE_SANTIAGO AMIGORENA
LES ANGES EXTERMINATEURS,JEAN CLAUDE BRISSEAU,1,Paris,LES ANGES EXTERMINATEURS_JEAN CLAUDE BRISSEAU
LES ANGES EXTERMINATEURS,JEAN CLAUDE BRISSEAU,1,Paris,LES ANGES EXTERMINATEURS_JEAN CLAUDE BRISSEAU
LES ARISTOS,C. DE TURCKHEIM,1,Paris,LES ARISTOS_C. DE TURCKHEIM
LES ARISTOS,C. DE TURCKHEIM,1,Paris,LES ARISTOS_C. DE TURCKHEIM
TAKE THIS WALTZ,FLORENCE COLOMBANI,1,Paris,TAKE THIS WALTZ_FLORENCE COLOMBANI
LES MURS PORT,CYRIL GELBLAT,1,Paris,LES MURS PORT_CYRIL GELBLAT
EXES,MARTIN COGNITO,1,Paris,EXES_MARTIN COGNITO
EXES,MARTIN COGNITO,1,Paris,EXES_MARTIN COGNITO
EXES,MARTIN COGNITO,1,Paris,EXES_MARTIN COGNITO
